id,seat,area,incumbent,conservative,labour,libdems,ukip,green,snp,plaidcymru,other,sinnfein,sdlp,uu,dup,alliance,change,party,majority,majority2010
309,Kilmarnock and Loudoun,scotland,labour,11.43,29.89,1.0,1.57,0.7,55.38,0.0,0.03,0.0,0.0,0.0,0.0,0.0,yes,snp,25.48,26.59
308,Kettering,eastmidlands,conservative,50.38,29.14,2.17,15.2,2.3,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,no,conservative,21.24,19.21
436,Orkney and Shetland,scotland,libdems,9.83,2.2,50.3,1.45,1.65,34.5,0.0,0.08,0.0,0.0,0.0,0.0,0.0,no,libdems,15.8,51.32
1,Aberavon,wales,labour,15.12,52.8,3.85,13.58,1.96,0.0,7.78,4.9,0.0,0.0,0.0,0.0,0.0,no,labour,37.68,35.66
474,Rossendale and Darwen,northwestengland,conservative,42.52,35.72,4.0,13.29,3.32,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,no,conservative,6.8,9.53
62,Blaydon,northeastengland,labour,16.86,51.99,9.6,17.12,3.69,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,no,labour,34.87,20.3
623,Westmorland and Lonsdale,northwestengland,libdems,36.61,3.66,40.48,13.91,5.26,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,no,libdems,3.87,23.82
596,Walthamstow,london,labour,14.53,61.59,12.49,5.67,5.48,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,no,labour,47.06,23.12
581,Totnes,southwestengland,conservative,55.17,9.44,16.77,10.29,6.07,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,no,conservative,38.4,10.3
234,Garston and Halewood,northwestengland,labour,16.21,67.85,5.69,8.45,1.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,no,labour,51.64,39.41
602,Warwick and Leamington,westmidlands,conservative,43.3,34.2,3.54,13.02,5.89,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,no,conservative,9.1,7.16
132,Chesterfield,eastmidlands,labour,18.51,44.06,18.47,15.55,2.93,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,no,labour,25.55,1.2
183,Dundee West,scotland,labour,7.43,27.38,2.46,0.98,0.69,60.72,0.0,0.34,0.0,0.0,0.0,0.0,0.0,yes,snp,33.34,19.6
431,Ochil and South Perthshire,scotland,labour,17.0,19.48,2.46,1.63,1.2,58.06,0.0,0.17,0.0,0.0,0.0,0.0,0.0,yes,snp,38.57,10.28
270,Harwich and North Essex,eastofengland,conservative,56.93,24.56,9.05,7.41,1.65,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,no,conservative,32.37,23.36
90,Bristol North West,southwestengland,conservative,43.83,28.53,12.44,6.15,8.17,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,no,conservative,15.3,6.5
4,Aberdeen South,scotland,labour,20.28,21.72,15.71,1.78,1.43,38.31,0.0,0.77,0.0,0.0,0.0,0.0,0.0,yes,snp,16.59,8.15
210,Edmonton,london,labour,28.64,59.05,1.5,7.23,3.29,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,no,labour,30.41,23.81
279,Hereford and South Herefordshire,westmidlands,conservative,51.26,8.32,19.34,15.75,5.02,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,no,conservative,31.93,5.13
402,North East Bedfordshire,eastofengland,conservative,61.65,18.53,6.72,10.68,2.07,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,no,conservative,43.12,34.1
493,Sheffield Central,yorkshireandthehumber,labour,10.08,46.67,19.61,16.92,6.38,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,no,labour,27.06,0.4
631,Witham,eastofengland,conservative,61.04,22.21,6.26,8.98,1.49,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,conservative,38.83,32.45
202,Eastbourne,southeastengland,libdems,42.69,6.05,29.72,14.8,3.33,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,yes,conservative,12.98,6.59
283,Heywood and Middleton,northwestengland,labour,26.86,45.8,7.15,15.7,2.32,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,no,labour,18.94,2.17
252,Great Grimsby,yorkshireandthehumber,labour,24.25,30.03,5.13,36.84,1.77,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,yes,ukip,6.81,2.17
114,Cardiff South and Penarth,wales,labour,30.49,40.99,8.18,11.26,3.79,0.0,4.85,0.45,0.0,0.0,0.0,0.0,0.0,no,labour,10.5,27.44
533,Southport,northwestengland,libdems,37.0,12.61,33.12,14.25,2.99,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,yes,conservative,3.88,13.77
67,Bolton South East,northwestengland,labour,24.6,52.08,2.83,16.32,2.23,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,no,labour,27.47,21.8
590,Vale of Glamorgan,wales,conservative,42.98,31.27,3.11,13.9,3.04,0.0,5.65,0.07,0.0,0.0,0.0,0.0,0.0,no,conservative,11.71,8.85
104,Caerphilly,wales,labour,17.67,44.72,2.89,14.03,1.89,0.0,17.35,1.46,0.0,0.0,0.0,0.0,0.0,no,labour,27.05,27.8
377,Morecambe and Lunesdale,northwestengland,conservative,40.3,41.2,1.83,14.1,2.53,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,yes,labour,0.9,1.99
168,Derby North,eastmidlands,labour,33.59,34.71,9.93,17.42,3.29,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,no,labour,1.12,1.36
627,Winchester,southeastengland,conservative,57.56,7.26,23.02,7.51,4.3,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,no,conservative,34.55,5.45
541,Staffordshire Moorlands,westmidlands,conservative,47.18,30.06,3.09,17.06,2.58,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,conservative,17.12,15.27
467,Richmond Park,london,conservative,56.06,8.1,23.74,6.12,5.93,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,no,conservative,32.32,6.9
642,Worcester,westmidlands,conservative,42.02,33.61,4.4,14.72,4.78,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,no,conservative,8.41,6.09
370,Milton Keynes North,southeastengland,conservative,46.05,28.41,6.21,13.37,4.09,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,no,conservative,17.64,16.63
452,Portsmouth North,southeastengland,conservative,46.41,29.07,4.96,13.16,4.78,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,no,conservative,17.34,16.52
633,Wolverhampton South West,westmidlands,conservative,43.23,39.07,2.5,13.22,1.9,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,no,conservative,4.17,1.72
442,Pendle,northwestengland,conservative,40.81,35.26,5.39,13.67,2.15,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0,no,conservative,5.55,7.96
369,Midlothian,scotland,labour,10.34,28.25,6.36,1.64,1.42,51.3,0.0,0.67,0.0,0.0,0.0,0.0,0.0,yes,snp,23.05,26.37
141,City of Durham,northeastengland,labour,23.66,56.81,5.15,6.51,7.24,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,no,labour,33.15,29.48
371,Milton Keynes South,southeastengland,conservative,43.83,33.52,3.58,12.99,3.97,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,no,conservative,10.31,9.4
21,Banff and Buchan,scotland,snp,23.0,3.1,2.11,1.44,0.66,69.05,0.0,0.64,0.0,0.0,0.0,0.0,0.0,no,snp,46.04,10.47
466,Richmond (Yorks),yorkshireandthehumber,conservative,66.8,18.97,4.8,7.66,1.7,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,no,conservative,47.83,43.69
207,Edinburgh South,scotland,labour,21.8,20.78,20.95,1.58,4.75,29.69,0.0,0.45,0.0,0.0,0.0,0.0,0.0,yes,snp,7.89,0.72
135,Chippenham,southwestengland,libdems,44.63,8.47,27.97,12.63,4.74,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,yes,conservative,16.67,4.72
98,Buckingham,southeastengland,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,no,other,100.0,26.54
181,"Dumfriesshire, Clydesdale and Tweeddale",scotland,conservative,39.63,14.85,8.58,1.87,0.72,34.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,no,conservative,5.47,9.14
75,Bradford East,yorkshireandthehumber,libdems,25.9,36.61,18.64,14.12,3.25,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,yes,labour,10.71,0.9
488,Sedgefield,northeastengland,labour,24.44,47.32,4.04,18.95,3.44,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,no,labour,22.89,21.62
543,Stevenage,eastofengland,conservative,45.17,35.63,3.34,12.74,2.03,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,no,conservative,9.54,8.01
552,Stourbridge,westmidlands,conservative,45.94,32.62,2.81,15.79,2.26,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,no,conservative,13.32,10.93
360,Mid Bedfordshire,eastofengland,conservative,56.96,16.69,8.74,14.73,2.68,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,no,conservative,40.27,27.6
144,Clwyd South,wales,labour,31.81,39.56,4.57,12.04,1.68,0.0,9.53,0.81,0.0,0.0,0.0,0.0,0.0,no,labour,7.75,8.17
284,High Peak,eastmidlands,conservative,44.46,32.17,6.01,12.39,4.9,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,no,conservative,12.29,9.29
259,Halifax,yorkshireandthehumber,labour,32.79,41.31,4.3,15.53,3.74,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,no,labour,8.52,3.38
438,Oxford East,southeastengland,labour,19.07,44.22,13.68,7.69,15.29,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,no,labour,25.14,8.87
542,Stalybridge and Hyde,northwestengland,labour,33.22,46.12,3.73,12.71,2.2,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,no,labour,12.9,6.71
221,Exeter,southwestengland,labour,33.18,38.3,4.64,12.42,8.88,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,no,labour,5.12,5.21
113,Cardiff North,wales,conservative,40.7,36.77,5.13,10.19,3.42,0.0,3.69,0.09,0.0,0.0,0.0,0.0,0.0,no,conservative,3.93,0.41
347,Luton South,eastofengland,labour,33.22,40.84,7.74,10.75,1.75,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,no,labour,7.62,5.52
108,Camborne and Redruth,southwestengland,conservative,42.8,18.2,16.37,15.33,5.62,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,no,conservative,24.6,0.16
9,Alyn and Deeside,wales,labour,33.31,40.04,5.17,14.39,1.78,0.0,4.35,0.96,0.0,0.0,0.0,0.0,0.0,no,labour,6.73,7.31
500,Sittingbourne and Sheppey,southeastengland,conservative,42.77,21.25,1.93,28.88,3.23,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,no,conservative,13.89,25.49
601,Warrington South,northwestengland,conservative,37.36,37.01,10.12,13.21,2.26,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,conservative,0.35,2.83
586,Tynemouth,northeastengland,labour,33.78,45.37,2.07,14.87,3.54,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,no,labour,11.59,10.9
394,"Normanton, Pontefract and Castleford",yorkshireandthehumber,labour,24.12,53.63,2.76,13.45,1.71,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,no,labour,29.51,23.74
637,Wokingham,southeastengland,conservative,57.39,11.82,10.41,13.37,3.31,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,no,conservative,44.02,24.74
411,North Shropshire,westmidlands,conservative,54.83,19.17,5.57,15.98,3.99,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,no,conservative,35.67,30.52
63,Blyth Valley,northeastengland,labour,18.94,50.48,9.33,15.86,3.65,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,no,labour,31.54,17.29
419,North West Hampshire,southeastengland,conservative,63.06,15.04,7.5,12.06,2.32,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,conservative,48.02,34.87
250,Grantham and Stamford,eastmidlands,conservative,51.65,17.93,5.72,19.74,3.38,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,no,conservative,31.91,28.08
133,Chichester,southeastengland,conservative,58.14,11.8,9.82,14.74,5.47,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,conservative,43.4,27.96
373,Mole Valley,southeastengland,conservative,63.21,8.54,11.34,12.23,4.65,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,conservative,50.97,28.81
45,Bexleyheath and Crayford,london,conservative,47.8,28.9,1.69,16.85,2.67,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,no,conservative,18.9,23.95
565,Tamworth,westmidlands,conservative,48.77,33.38,2.73,13.28,1.76,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,no,conservative,15.39,13.13
513,South East Cornwall,southwestengland,conservative,52.5,8.74,18.22,14.34,5.26,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,no,conservative,34.27,6.49
88,Brighton Pavilion,southeastengland,green,22.8,29.1,2.46,5.68,39.9,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,no,green,10.8,2.42
285,Hitchin and Harpenden,eastofengland,conservative,61.34,15.98,10.31,9.47,2.79,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,no,conservative,45.36,27.91
193,East Ham,london,labour,14.68,76.45,1.66,4.09,2.89,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,no,labour,61.77,55.24
410,North Norfolk,eastofengland,libdems,33.45,7.11,35.9,19.42,4.1,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,libdems,2.44,23.41
570,The Cotswolds,southwestengland,conservative,60.62,12.78,11.6,10.39,4.11,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,no,conservative,47.84,23.46
83,Brentwood and Ongar,eastofengland,conservative,63.01,11.76,7.93,13.68,2.12,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,no,conservative,49.33,33.45
262,Hammersmith,london,labour,33.96,47.8,3.24,7.31,7.52,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,no,labour,13.83,7.48
364,Mid Sussex,southeastengland,conservative,52.88,7.63,16.1,16.67,6.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,no,conservative,36.21,13.25
323,Leeds North West,yorkshireandthehumber,libdems,25.42,24.0,28.26,17.11,4.86,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,no,libdems,2.84,20.93
585,Twickenham,london,libdems,36.82,11.7,39.13,6.16,5.97,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,no,libdems,2.31,20.33
470,Rochford and Southend East,eastofengland,conservative,52.23,22.95,5.33,14.43,2.63,0.0,0.0,2.43,0.0,0.0,0.0,0.0,0.0,no,conservative,29.28,26.54
332,"Lewisham, Deptford",london,labour,14.24,64.66,9.04,4.67,6.95,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,no,labour,50.42,30.32
312,Kingston upon Hull North,yorkshireandthehumber,labour,14.09,47.97,18.5,16.09,2.55,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,no,labour,29.47,1.93
487,Scunthorpe,yorkshireandthehumber,labour,30.77,42.45,3.93,19.67,2.63,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,no,labour,11.69,6.88
556,Stretford and Urmston,northwestengland,labour,28.58,55.16,3.68,9.38,3.14,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,no,labour,26.58,19.9
522,South Swindon,southwestengland,conservative,44.78,34.86,3.29,12.91,3.76,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,no,conservative,9.92,7.52
130,Cheltenham,southwestengland,libdems,43.7,6.32,30.6,12.4,6.39,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,yes,conservative,13.1,9.32
361,Mid Derbyshire,eastmidlands,conservative,54.09,26.21,5.32,11.61,2.16,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,no,conservative,27.88,23.85
400,North Down,northernireland,other,0.0,0.0,0.0,0.0,2.52,0.0,0.0,68.0,0.64,1.14,19.64,0.0,8.06,no,other,48.36,42.9
29,Bath,southwestengland,libdems,34.59,8.48,36.32,6.98,13.07,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,no,libdems,1.73,25.24
549,Stoke-on-Trent North,westmidlands,labour,27.1,49.82,4.09,14.07,1.84,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,no,labour,22.72,20.49
554,Stratford-on-Avon,westmidlands,conservative,60.38,11.44,11.89,12.32,2.83,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,no,conservative,48.06,22.45
31,Battersea,london,conservative,47.84,39.65,2.67,6.04,3.72,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,no,conservative,8.19,12.25
322,Leeds North East,yorkshireandthehumber,labour,30.52,44.7,4.36,15.62,4.41,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,no,labour,14.18,9.56
177,Dudley North,westmidlands,labour,37.53,39.5,1.51,17.76,2.52,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,no,labour,1.97,1.68
87,Brighton Kemptown,southeastengland,conservative,42.57,38.26,4.29,7.59,7.22,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,no,conservative,4.31,3.11
128,Chelmsford,eastofengland,conservative,51.04,12.74,16.88,16.51,2.48,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,no,conservative,34.16,9.36
546,Stockton North,northeastengland,labour,27.28,45.66,2.37,17.98,2.65,0.0,0.0,4.07,0.0,0.0,0.0,0.0,0.0,no,labour,18.38,16.9
605,Waveney,eastofengland,conservative,40.6,37.9,1.79,16.09,3.59,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,conservative,2.7,1.5
96,Broxbourne,eastofengland,conservative,60.39,18.77,1.89,15.16,1.47,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,no,conservative,41.62,41.18
126,Chatham and Aylesford,southeastengland,conservative,47.77,33.29,1.88,11.69,2.52,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,no,conservative,14.48,13.85
624,Weston-Super-Mare,southwestengland,conservative,49.06,12.4,17.11,13.72,5.5,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,no,conservative,31.95,5.1
28,Bassetlaw,eastmidlands,labour,32.87,48.07,1.53,15.53,1.89,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,no,labour,15.2,16.57
230,Forest of Dean,southwestengland,conservative,50.95,25.66,5.74,12.8,4.78,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,no,conservative,25.29,22.69
496,Sheffield South East,yorkshireandthehumber,labour,16.68,52.6,6.98,16.4,6.18,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,no,labour,35.93,25.37
489,Sefton Central,northwestengland,labour,32.84,46.62,5.28,12.59,2.64,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,labour,13.77,7.97
597,Wansbeck,northeastengland,labour,19.58,51.04,9.33,15.66,3.6,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,no,labour,31.46,18.37
302,Islington South and Finsbury,london,labour,20.12,51.06,16.39,6.74,5.53,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,no,labour,30.93,8.19
514,South Holland and The Deepings,eastmidlands,conservative,62.83,14.79,2.44,17.83,1.58,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,no,conservative,45.01,43.6
494,Sheffield Hallam,yorkshireandthehumber,libdems,23.94,19.95,34.79,15.24,5.66,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,no,libdems,10.85,29.89
11,Angus,scotland,snp,23.24,4.89,1.87,1.92,0.94,67.11,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,snp,43.87,8.65
196,East Londonderry,northernireland,dup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36,19.4,13.37,16.84,36.16,7.88,no,dup,16.76,15.32
249,Gower,wales,labour,34.83,41.01,5.99,8.25,1.95,0.0,7.62,0.36,0.0,0.0,0.0,0.0,0.0,no,labour,6.18,6.44
540,Stafford,westmidlands,conservative,47.23,33.96,2.81,13.5,2.18,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,no,conservative,13.27,10.87
318,Lanark and Hamilton East,scotland,labour,13.17,30.45,2.59,1.66,0.48,51.44,0.0,0.21,0.0,0.0,0.0,0.0,0.0,yes,snp,20.99,28.95
297,Inverclyde,scotland,labour,10.72,36.41,4.0,1.36,0.61,46.85,0.0,0.04,0.0,0.0,0.0,0.0,0.0,yes,snp,10.44,20.78
268,Harrow West,london,labour,36.12,49.91,3.69,6.81,3.45,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,labour,13.79,6.82
340,"Liverpool, West Derby",northwestengland,labour,8.54,67.49,1.78,11.67,4.91,0.0,0.0,5.61,0.0,0.0,0.0,0.0,0.0,no,labour,55.82,51.61
187,Ealing North,london,labour,30.73,57.81,1.94,4.86,4.1,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,no,labour,27.08,19.51
544,Stirling,scotland,labour,21.94,24.27,4.66,1.35,1.89,45.65,0.0,0.24,0.0,0.0,0.0,0.0,0.0,yes,snp,21.38,17.73
198,East Renfrewshire,scotland,labour,30.14,33.8,1.48,1.86,1.33,31.35,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,labour,2.45,20.36
317,Lagan Valley,northernireland,dup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,3.75,3.58,19.7,50.88,14.68,no,dup,31.18,28.7
156,Crewe and Nantwich,northwestengland,conservative,45.53,36.83,2.14,12.42,2.73,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,no,conservative,8.69,11.84
504,Solihull,westmidlands,libdems,43.99,9.94,25.31,16.24,4.01,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,yes,conservative,18.68,0.32
618,West Lancashire,northwestengland,labour,32.56,46.5,1.85,15.92,3.1,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,no,labour,13.94,8.96
480,Rushcliffe,eastmidlands,conservative,53.61,21.01,5.88,13.79,5.68,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,conservative,32.59,29.45
253,Great Yarmouth,eastofengland,conservative,43.57,32.83,1.94,19.06,1.98,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,no,conservative,10.74,9.93
459,Reading East,southeastengland,conservative,45.48,27.21,9.59,12.21,5.45,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,no,conservative,18.26,15.21
23,Barnsley Central,yorkshireandthehumber,labour,17.7,54.6,3.69,15.54,1.91,0.0,0.0,6.57,0.0,0.0,0.0,0.0,0.0,no,labour,36.91,51.73
508,South Cambridgeshire,eastofengland,conservative,50.52,11.52,14.41,15.8,7.13,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,no,conservative,34.72,13.27
610,Welwyn Hatfield,eastofengland,conservative,58.52,22.5,3.06,13.01,2.87,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,no,conservative,36.01,35.58
532,Southend West,eastofengland,conservative,52.27,15.79,12.09,14.32,3.24,0.0,0.0,2.29,0.0,0.0,0.0,0.0,0.0,no,conservative,36.48,16.67
33,Beckenham,london,conservative,58.22,17.97,6.23,12.93,4.29,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,no,conservative,40.24,37.29
634,Wyre and Preston North,northwestengland,conservative,50.5,23.33,5.82,17.81,2.51,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,no,conservative,27.17,30.88
182,Dundee East,scotland,snp,11.78,15.42,1.9,0.86,0.6,69.1,0.0,0.34,0.0,0.0,0.0,0.0,0.0,no,snp,53.68,4.49
