pollster	type	pollsterweight	date	day	month	year	region	total	conservative	labour	libdems	ukip	green	snp	plaidcymru	other	sdlp	sinnfein	alliance	dup	uu	weight	initialweight	area
icm	regional		20/12/15	20	12	2015	Midlands	161	59	63	7	20	7			5								
icm	regional		20/12/15	20	12	2015	SouthICM	201	95	55	18	22	8			4								
yougov	percentage		18/12/15	18	12	2015	London	205	42	33	6	16	1			2								
yougov	percentage		18/12/15	18	12	2015	Rest of South	519	45	23	6	20	4			0								
yougov	percentage		18/12/15	18	12	2015	Midlands and Wales	342	38	32	7	17	3		2	1								
yougov	percentage		18/12/15	18	12	2015	North England	393	38	38	5	17	2											
yougov	percentage		18/12/15	18	12	2015	Scotland	139	20	17	3	5	3	52										
opinium	regional		18/12/15	18	12	2015	England	999	403	316	55	173	47			8								
opinium	regional		18/12/15	18	12	2015	Scotland	102	16	11	3	7	4	67		0								
opinium	regional		18/12/15	18	12	2015	Wales	61	21	20			2		7	1								
mori	regional		14/12/15	14	12	2015	North	177	66	75	8	19	9											
mori	regional		14/12/15	14	12	2015	Midlands	197	90	60	15	20	11			1								
mori	regional		14/12/15	14	12	2015	Wales	36	4	8	4	6	1		13									
mori	regional		14/12/15	14	12	2015	SouthMori	175	81	49	17	18	10											
mori	regional		14/12/15	14	12	2015	London	92	27	42	11	6	6											
mori	regional		14/12/15	14	12	2015	Scotland	66	7	21	2		2	33		1								
comresDM	regional		13/12/15	13	12	2015	Wales	25	9	10	2	2			2	1								
comresDM	regional		13/12/15	13	12	2015	Scotland	54	10	17	3			23		1								
comresDM	regional		13/12/15	13	12	2015	North	129	41	68	4	16	8			1								
comresDM	regional		13/12/15	13	12	2015	Midlands	151	70	35	14	23	5			4								
comresDM	regional		13/12/15	13	12	2015	SouthICM	194	76	65	16	19	12			6								
comres	regional		11/12/15	11	12	2015	Scotland	156	26	17	12	8	4	54										
comres	regional		11/12/15	11	12	2015	North East England	77	16	20	3	7	4											
comres	regional		11/12/15	11	12	2015	North West England	165	55	53	10	22	3											
comres	regional		11/12/15	11	12	2015	Yorkshire and Humber	176	42	39	4	24	4											
comres	regional		11/12/15	11	12	2015	West Midlands	121	43	23	6	22	3			2								
comres	regional		11/12/15	11	12	2015	East Midlands	132	44	24	7	16	5											
comres	regional		11/12/15	11	12	2015	Wales	99	19	19	3	10	1		5									
comres	regional		11/12/15	11	12	2015	East of England	184	60	26	9	21	2											
comres	regional		11/12/15	11	12	2015	London	250	67	69	9	22	4			1								
comres	regional		11/12/15	11	12	2015	South East England	290	85	42	17	33	5											
comres	regional		11/12/15	11	12	2015	South West England	127	53	28	7	13	2			1								
yougov	percentage		01/12/15	1	12	2015	London	212	38	37	6	14	4			0								
yougov	percentage		01/12/15	1	12	2015	Rest of South	539	48	24	7	18	2			1								
yougov	percentage		01/12/15	1	12	2015	Midlands and Wales	355	42	33	5	16	2		2	0								
yougov	percentage		01/12/15	1	12	2015	North England	408	41	32	5	17	4			1								
yougov	percentage		01/12/15	1	12	2015	Scotland	144	20	24	4	8	2	41		0								
yougov	percentage		24/11/15	24	11	2015	London	552	38	36	7	13	4			1								
yougov	percentage		24/11/15	24	11	2015	Rest of South	1403	43	24	7	19	4			1								
yougov	percentage		24/11/15	24	11	2015	Midlands and Wales	920	40	27	6	22	2		2	1								
yougov	percentage		24/11/15	24	11	2015	North England	1060	34	39	6	17	3			1								
yougov	percentage		24/11/15	24	11	2015	Scotland	378	24	17	3	6	2	48										
comresDM	regional		22/11/15	22	11	2015	Wales	25	8	8	1	2	0		5	1								
comresDM	regional		22/11/15	22	11	2015	Scotland	50	12	11	2	1	1	20		2								
comresDM	regional		22/11/15	22	11	2015	North	117	49	39	7	16	3			2								
comresDM	regional		22/11/15	22	11	2015	Midlands	144	67	38	13	17	3			6								
comresDM	regional		22/11/15	22	11	2015	SouthICM	170	68	52	17	18	9			6								
comres	regional		20/11/15	20	11	2015	Scotland	115	19	16	8	6	4	62										
comres	regional		20/11/15	20	11	2015	North East England	50	21	22	1	6	0											
comres	regional		20/11/15	20	11	2015	North West England	150	63	56	8	15	7											
comres	regional		20/11/15	20	11	2015	Yorkshire and Humber	106	45	33	5	18	4			1								
comres	regional		20/11/15	20	11	2015	West Midlands	109	46	28	8	24	2											
comres	regional		20/11/15	20	11	2015	East Midlands	97	47	26	4	17	4											
comres	regional		20/11/15	20	11	2015	Wales	57	18	22	1	9	1		4									
comres	regional		20/11/15	20	11	2015	East of England	123	52	25	18	26	2											
comres	regional		20/11/15	20	11	2015	London	167	66	61	13	22	4			1								
comres	regional		20/11/15	20	11	2015	South East England	191	104	34	16	29	6			1								
comres	regional		20/11/15	20	11	2015	South West England	116	53	26	11	17	8											
mori	regional		19/11/15	19	11	2015	North	147	53	59	15	10	9			1								
mori	regional		19/11/15	19	11	2015	Midlands	154	86	40	11	14	3											
mori	regional		19/11/15	19	11	2015	Wales	36	11	18	1	1	3		2									
mori	regional		19/11/15	19	11	2015	SouthMori	141	57	44	14	17	9											
mori	regional		19/11/15	19	11	2015	London	95	39	45	6	3	2											
mori	regional		19/11/15	19	11	2015	Scotland	59	15	9	1	3		31										
survation	regional		17/11/15	17	11	2015	London	162	71	48	12	24	5			1								
survation	regional		17/11/15	17	11	2015	East and West Midlands	205	85	68	8	33	8			4								
survation	regional		17/11/15	17	11	2015	North	299	97	126	16	50	8			2								
survation	regional		17/11/15	17	11	2015	SouthSurvation	418	181	108	30	89	9			1								
survation	regional		17/11/15	17	11	2015	Scotland	120	25	20	5	3	0	66		1								
survation	regional		17/11/15	17	11	2015	Wales	68	19	20	3	8	2		15									
icm	regional		15/11/15	15	11	2015	Scotland	68	10	12	4	1	3	38		0								
icm	regional		15/11/15	15	11	2015	Wales	31	13	11	1	6	0			0								
icm	regional		15/11/15	15	11	2015	North	169	43	80	11	25	7			3								
icm	regional		15/11/15	15	11	2015	Midlands	187	74	59	11	36	4			3								
icm	regional		15/11/15	15	11	2015	SouthICM	277	107	102	23	28	13			4								
survation	regional		11/11/15	11	11	2015	London	221	77	86	20	29	8			1								
survation	regional		11/11/15	11	11	2015	East and West Midlands	257	125	72	13	40	6			0								
survation	regional		11/11/15	11	11	2015	North	364	120	147	27	63	5			2								
survation	regional		11/11/15	11	11	2015	SouthSurvation	519	228	127	41	97	17			5								
survation	regional		11/11/15	11	11	2015	Scotland	165	30	26	7	8	5	85										
survation	regional		11/11/15	11	11	2015	Wales	94	20	34	11	16	4		9									
comresDM	regional		25/10/15	25	10	2015	Wales	27	7	10	2	5	0		3	1								
comresDM	regional		25/10/15	25	10	2015	Scotland	53	13	12	4	1	2	18		2								
comresDM	regional		25/10/15	25	10	2015	North	121	37	50	7	13	6			9								
comresDM	regional		25/10/15	25	10	2015	Midlands	137	58	48	9	13	3			4								
comresDM	regional		25/10/15	25	10	2015	SouthICM	204	90	60	19	23	8			4								
mori	regional		19/10/15	19	10	2015	North	162	44	72	19	20	6			2								
mori	regional		19/10/15	19	10	2015	Midlands	149	71	44	20	20	1			4								
mori	regional		19/10/15	19	10	2015	Wales	24	1	13	2	2			5	1								
mori	regional		19/10/15	19	10	2015	SouthMori	144	64	32	18	19	8			2								
mori	regional		19/10/15	19	10	2015	London	84	28	37	1	15	3											
mori	regional		19/10/15	19	10	2015	Scotland	63	19	8	1	1	2	32		1								
opinium	regional		16/10/15	16	10	2015	England	947	379	311	49	162	38			8								
opinium	regional		16/10/15	16	10	2015	Scotland	116	19	22	2	2	2	68		0								
opinium	regional		16/10/15	16	10	2015	Wales	63	15	27	0	8	2		9	1								
comres	regional		16/10/15	16	10	2015	Scotland	153	26	28	9	3	3	84		0								
comres	regional		16/10/15	16	10	2015	North East England	64	19	27	4	13	1			0								
comres	regional		16/10/15	16	10	2015	North West England	190	56	97	8	21	7			1								
comres	regional		16/10/15	16	10	2015	Yorkshire and Humber	147	63	54	7	18	3			2								
comres	regional		16/10/15	16	10	2015	West Midlands	146	56	49	7	25	8			1								
comres	regional		16/10/15	16	10	2015	East Midlands	130	64	34	6	19	7			0								
comres	regional		16/10/15	16	10	2015	Wales	87	26	33	6	9	4		9	0								
comres	regional		16/10/15	16	10	2015	East of England	161	80	36	6	34	4			1								
comres	regional		16/10/15	16	10	2015	London	218	80	87	11	29	10			1								
comres	regional		16/10/15	16	10	2015	South East England	245	114	56	20	49	4			2								
comres	regional		16/10/15	16	10	2015	South West England	140	55	39	20	17	7			2								
icm	regional		11/10/15	11	10	2015	Scotland	52	9	11	1	1	1	28		1								
icm	regional		11/10/15	11	10	2015	Wales	29	5	15	1	1	1		3	1								
icm	regional		11/10/15	11	10	2015	North	146	44	77	10	10	2			2								
icm	regional		11/10/15	11	10	2015	Midlands	161	72	40	10	27	9			4								
icm	regional		11/10/15	11	10	2015	SouthICM	235	106	71	18	29	8			4								
yougov	percentage		29/09/15	29	9	2015	London	264	35	36	10	16	2			1								
yougov	percentage		29/09/15	29	9	2015	Rest of South	671	42	28	7	20	2			0								
yougov	percentage		29/09/15	29	9	2015	Midlands and Wales	442	37	30	6	19	3		3	1								
yougov	percentage		29/09/15	29	9	2015	North England	508	35	39	7	16	2			1								
yougov	percentage		29/09/15	29	9	2015	Scotland	180	26	17	3	5	1	47		1								
comresDM	regional		28/09/15	28	9	2015	Wales	26	8	9	3	2	0		4	0								
comresDM	regional		28/09/15	28	9	2015	Scotland	50	10	9	2	3	3	22		0								
comresDM	regional		28/09/15	28	9	2015	North	138	46	53	12	21	2			2								
comresDM	regional		28/09/15	28	9	2015	Midlands	145	68	43	10	17	4			3								
comresDM	regional		28/09/15	28	9	2015	SouthICM	200	85	54	122	24	11			4								
mori	regional		23/09/15	23	9	2015	North	189	65	80	26	10	5			4								
mori	regional		23/09/15	23	9	2015	Midlands	202	84	69	17	19	11			0								
mori	regional		23/09/15	23	9	2015	Wales	40	9	24	0	2	2		4	0								
mori	regional		23/09/15	23	9	2015	SouthMori	186	95	39	21	48	29			1								
mori	regional		23/09/15	23	9	2015	London	106	45	47	4	5	3											
mori	regional		23/09/15	23	9	2015	Scotland	75	17	14	3			40		1								
yougov	percentage		18/09/15	18	9	2015	London	205	44	32	6	14	4			0								
yougov	percentage		18/09/15	18	9	2015	Rest of South	520	49	21	6	19	4			0								
yougov	percentage		18/09/15	18	9	2015	Midlands and Wales	343	37	32	6	18	1		3	2								
yougov	percentage		18/09/15	18	9	2015	North England	394	33	42	7	15	2			1								
yougov	percentage		18/09/15	18	9	2015	Scotland	139	21	28	3	2	2	44		0								
opinium	regional		18/09/15	18	9	2015	England	1307	512	405	85	184	48			15								
opinium	regional		18/09/15	18	9	2015	Scotland	125	24	32	4	7	4	76		0								
opinium	regional		18/09/15	18	9	2015	Wales	58	13	28	5	11	3		8	0								
comres	regional		17/09/15	17	9	2015	Scotland	113	26	20	4	5	3	55		0								
comres	regional		17/09/15	17	9	2015	North East England	50	22	19	1	6	1			0								
comres	regional		17/09/15	17	9	2015	North West England	136	55	54	7	16	3			0								
comres	regional		17/09/15	17	9	2015	Yorkshire and Humber	96	39	29	6	18	4			1								
comres	regional		17/09/15	17	9	2015	West Midlands	107	53	30	5	17	2			0								
comres	regional		17/09/15	17	9	2015	East Midlands	88	39	24	7	16	3			0								
comres	regional		17/09/15	17	9	2015	Wales	58	19	18	4	10	1		6	0								
comres	regional		17/09/15	17	9	2015	East of England	129	60	34	9	21	3			2								
comres	regional		17/09/15	17	9	2015	London	170	75	62	13	14	4			1								
comres	regional		17/09/15	17	9	2015	South East England	169	75	44	16	24	8			1								
comres	regional		17/09/15	17	9	2015	South West England	106	48	32	8	15	3			1								
icm	regional		13/09/15	13	9	2015	Scotland	57	9	8	3	1	2	35		0								
icm	regional		13/09/15	13	9	2015	Wales	31	3	8	4	9	0		7	0								
icm	regional		13/09/15	13	9	2015	North	136	46	60	9	19	2			0								
icm	regional		13/09/15	13	9	2015	Midlands	171	75	58	12	22	4			0								
icm	regional		13/09/15	13	9	2015	SouthICM	232	95	67	21	34	11			4								
survation	regional		04/09/15	4	9	2015	London	111	55	31	10	11	4											
survation	regional		04/09/15	4	9	2015	East and West Midlands	148	57	51	5	27	6			2								
survation	regional		04/09/15	4	9	2015	North	199	60	93	7	29	8			2								
survation	regional		04/09/15	4	9	2015	SouthSurvation	271	129	68	21	39	10			2								
survation	regional		04/09/15	4	9	2015	Scotland	81	10	13	3	5	4	45										
survation	regional		04/09/15	4	9	2015	Wales	39	10	15	2	3			8									
comresDM	regional		23/08/15	23	8	2015	Wales	27	11	10	1	2	2		1									
comresDM	regional		23/08/15	23	8	2015	Scotland	49	8	10	2	2	3	24										
comresDM	regional		23/08/15	23	8	2015	North	131	51	48	9	13	6											
comresDM	regional		23/08/15	23	8	2015	Midlands	128	58	36	12	12	7			3								
comresDM	regional		23/08/15	23	8	2015	SouthICM	184	86	43	15	18	12			3								
comres	regional		13/08/15	13	8	2015	Scotland	119	27	17	8	5	4	57		9								
comres	regional		13/08/15	13	8	2015	North East England	43	15	21	3	4	0			0								
comres	regional		13/08/15	13	8	2015	North West England	146	57	48	12	25	2			1								
comres	regional		13/08/15	13	8	2015	Yorkshire and Humber	102	40	39	5	13	5			1								
comres	regional		13/08/15	13	8	2015	West Midlands	104	40	37	13	12	0			0								
comres	regional		13/08/15	13	8	2015	East Midlands	90	35	28	9	12	6			1								
comres	regional		13/08/15	13	8	2015	Wales	60	22	20	3	9	2		4	0								
comres	regional		13/08/15	13	8	2015	East of England	117	53	23	11	26	4			0								
comres	regional		13/08/15	13	8	2015	London	166	72	61	11	16	4			2								
comres	regional		13/08/15	13	8	2015	South East England	181	90	40	12	30	7			2								
comres	regional		13/08/15	13	8	2015	South West England	117	47	32	13	14	11											
survation	regional		13/08/15	13	8	2015	London	101	35	41	6	19	1											
survation	regional		13/08/15	13	8	2015	East and West Midlands	143	82	33	1	24	3											
survation	regional		13/08/15	13	8	2015	North	196	58	95	10	27	6											
survation	regional		13/08/15	13	8	2015	SouthSurvation	284	115	79	26	54	9			1								
survation	regional		13/08/15	13	8	2015	Scotland	97	24	21	5	1	2	44										
survation	regional		13/08/15	13	8	2015	Wales	37	16	12	2	2			4									
icm	regional		09/08/15	9	8	2015	Scotland	56	8	10	4	0	0	33		0								
icm	regional		09/08/15	9	8	2015	Wales	34	10	14	2	1	1		5	0								
icm	regional		09/08/15	9	8	2015	North	159	52	77	14	13	2			0								
icm	regional		09/08/15	9	8	2015	Midlands	147	70	40	9	19	7			2								
icm	regional		09/08/15	9	8	2015	SouthICM	239	111	66	18	26	13			5								
comres	regional		26/07/15	26	7	2015	Scotland	53	10	8	2	1	1	29		2								
comres	regional		26/07/15	26	7	2015	North East England	19	7	7	1	4	0			0								
comres	regional		26/07/15	26	7	2015	North West England	65	19	29	2	9	4			2								
comres	regional		26/07/15	26	7	2015	Yorkshire and Humber	51	15	21	3	6	4			1								
comres	regional		26/07/15	26	7	2015	West Midlands	51	22	15	2	7	4			2								
comres	regional		26/07/15	26	7	2015	East Midlands	40	21	15	1	3	1			0								
comres	regional		26/07/15	26	7	2015	Wales	27	8	5	2	3	2		7	1								
comres	regional		26/07/15	26	7	2015	East of England	62	34	12	5	8	3			0								
comres	regional		26/07/15	26	7	2015	London	66	25	22	9	3	4			3								
comres	regional		26/07/15	26	7	2015	South East England	74	40	17	6	8	3			2								
comres	regional		26/07/15	26	7	2015	South West England	53	25	10	7	6	3			2								
mori	regional		20/07/15	20	7	2015	North	160	51	66	11	22	10											
mori	regional		20/07/15	20	7	2015	Midlands	173	63	52	22	17	18			2								
mori	regional		20/07/15	20	7	2015	Wales	33	10	13	3	1	2		4									
mori	regional		20/07/15	20	7	2015	SouthMori	144	69	30	16	12	12			1								
mori	regional		20/07/15	20	7	2015	London	82	32	32	9	5	4											
mori	regional		20/07/15	20	7	2015	Scotland	63	17	8	6		4	28										
icm	regional		12/07/15	12	7	2015	Scotland	65	13	22	1	0	0	27		2								
icm	regional		12/07/15	12	7	2015	Wales	32	9	11	1	5	1		5	0								
icm	regional		12/07/15	12	7	2015	North	165	53	71	11	28	3			0								
icm	regional		12/07/15	12	7	2015	Midlands	163	74	52	4	24	8			0								
icm	regional		12/07/15	12	7	2015	SouthICM	232	101	68	25	24	13			1								
comres	regional		28/06/15	28	6	2015	Scotland	69	19	8	2	2	2	36		0								
comres	regional		28/06/15	28	6	2015	North East England	38	12	12	7	6	1			0								
comres	regional		28/06/15	28	6	2015	North West England	89	30	42	6	6	2			3								
comres	regional		28/06/15	28	6	2015	Yorkshire and Humber	57	21	24	3	6	1			2								
comres	regional		28/06/15	28	6	2015	West Midlands	63	26	16	5	11	3			2								
comres	regional		28/06/15	28	6	2015	East Midlands	52	21	16	4	7	3			1								
comres	regional		28/06/15	28	6	2015	Wales	40	11	10	3	6	5		5	0								
comres	regional		28/06/15	28	6	2015	East of England	67	30	16	3	11	4			3								
comres	regional		28/06/15	28	6	2015	London	93	26	33	6	10	15			3								
comres	regional		28/06/15	28	6	2015	South East England	86	38	23	6	8	7			4								
comres	regional		28/06/15	28	6	2015	South West England	64	35	12	5	7	4			1								
mori	regional		16/06/2015	16	6	2015	North	207	93	74	22	5	11			1								
mori	regional		16/06/2015	16	6	2015	Midlands	218	86	67	24	25	13											
mori	regional		16/06/2015	16	6	2015	Wales	47	15	12	1	2	2		16	2								
mori	regional		16/06/2015	16	6	2015	SouthMori	198	87	44	25	26	15			3								
mori	regional		16/06/2015	16	6	2015	London	117	42	54	10	4	6			1								
mori	regional		16/06/2015	16	6	2015	Scotland	81	14	16	5	1	1	44										
icm	regional		14/06/2015	14	6	2015	Scotland	66	15	11	3	0	5	32		0								
icm	regional		14/06/2015	14	6	2015	Wales	26	5	9	2	5	1		3	0								
icm	regional		14/06/2015	14	6	2015	North	151	47	65	11	20	7			1								
icm	regional		14/06/2015	14	6	2015	Midlands	169	77	47	8	26	10			1								
icm	regional		14/06/2015	14	6	2015	SouthICM	247	101	70	28	32	13			2								
comres	regional		31/05/15	31	5	2015	Scotland	67	14	14	5	0	2	32		1								
comres	regional		31/05/15	31	5	2015	North East England	30	11	12	0	5	1			0								
comres	regional		31/05/15	31	5	2015	North West England	80	25	36	5	9	3			1								
comres	regional		31/05/15	31	5	2015	Yorkshire and Humber	64	24	30	3	7	1			0								
comres	regional		31/05/15	31	5	2015	West Midlands	66	28	15	3	11	4			4								
comres	regional		31/05/15	31	5	2015	East Midlands	58	23	19	1	10	2			2								
comres	regional		31/05/15	31	5	2015	Wales	34	5	15	1	6	1		5	0								
comres	regional		31/05/15	31	5	2015	East of England	73	36	15	6	12	3			0								
comres	regional		31/05/15	31	5	2015	London	94	38	37	9	1	7			2								
comres	regional		31/05/15	31	5	2015	South East England	93	40	23	8	16	4			2								
comres	regional		31/05/15	31	5	2015	South West England	65	33	14	10	4	4											
yougov	percentage		26/05/15	26	5	2015	London	219	34	44	7	6	5			1								
yougov	percentage		26/05/15	26	5	2015	Rest of South	555	49	21	9	15	6											
yougov	percentage		26/05/15	26	5	2015	Midlands and Wales	366	46	31	5	16	2											
yougov	percentage		26/05/15	26	5	2015	North England	420	38	38	6	16	2											
yougov	percentage		26/05/15	26	5	2015	Scotland	149	15	20	5	3	1	56										
survation	regional		9/05/2015	9	5	2015	London	115	43	45	7	17	3			0								
survation	regional		9/05/2015	9	5	2015	East and West Midlands	157	73	49	10	20	4			0								
survation	regional		9/05/2015	9	5	2015	North	199	76	82	6	26	8			1								
survation	regional		9/05/2015	9	5	2015	SouthSurvation	313	157	76	23	40	11			6								
survation	regional		9/05/2015	9	5	2015	Scotland	75	10	9	2	3	1	49										
survation	regional		9/05/2015	9	5	2015	Wales	52	11	21	8	2	3		7									
whoever	regional		9/05/2015	9	5	2015	Northern Ireland	10000	126			255	95			656	1390	2454	857	2566	1601			
